Snapshot,Label,Time,Value1,Value2,Value3,Value4,Value5,Category1,Category2,Category3
0,0,2025/09/21 19:00:00,1,8000,0.841470985,1000,0.60757193,A,A,E
0,0,2025/09/21 20:00:00,2,7999,0.909297427,1001,0.965145825,A,B,E
0,0,2025/09/21 21:00:00,3,7998,0.141120008,1002,0.92559051,A,C,E
0,0,2025/09/21 22:00:00,4,7997,-0.756802495,1003,0.505181838,A,C,E
0,0,2025/09/21 23:00:00,5,7996,-0.958924275,1004,-0.123094349,A,C,E
0,0,2025/09/22 00:00:00,6,7995,-0.279415498,1005,-0.70072082,A,D,E
0,0,2025/09/22 01:00:00,7,7994,0.656986599,1006,-0.990021218,A,C,E
0,0,2025/09/22 02:00:00,8,7993,0.989358247,1007,-0.871956912,A,A,E
0,0,2025/09/22 03:00:00,9,7992,0.412118485,1008,-0.395107902,A,B,E
0,0,2025/09/22 04:00:00,10,7991,-0.544021111,1009,0.244316426,A,C,E
0,0,2025/09/22 05:00:00,11,7990,-0.999990207,1010,0.783211707,A,A,E
0,0,2025/09/22 06:00:00,12,7989,-0.536572918,1011,0.999838335,A,D,E
0,0,2025/09/22 07:00:00,13,7988,0.420167037,1012,0.805060802,A,A,E
0,0,2025/09/22 08:00:00,14,7987,0.990607356,1013,0.279024353,A,D,E
0,0,2025/09/22 09:00:00,15,7986,0.65028784,1014,-0.361822436,A,D,E
0,0,2025/09/22 10:00:00,16,7985,-0.287903317,1015,-0.853789902,A,D,E
0,0,2025/09/22 11:00:00,17,7984,-0.961397492,1016,-0.994447855,A,D,E
0,0,2025/09/22 12:00:00,18,7983,-0.750987247,1017,-0.725919673,A,C,E
0,0,2025/09/22 13:00:00,19,7982,0.14987721,1018,-0.158696828,A,C,E
0,0,2025/09/22 14:00:00,20,7981,0.912945251,1019,0.473825108,A,A,E
0,0,2025/09/22 15:00:00,21,7980,0.836655639,1020,0.911381904,A,C,E
0,0,2025/09/22 16:00:00,22,7979,-0.008851309,1021,0.973931768,A,A,E
0,0,2025/09/22 17:00:00,23,7978,-0.846220404,1022,0.635737265,A,D,E
0,0,2025/09/22 18:00:00,24,7977,-0.905578362,1023,0.035955516,A,A,E
0,0,2025/09/22 19:00:00,25,7976,-0.13235175,1024,-0.578620873,A,A,E
0,0,2025/09/22 20:00:00,26,7975,0.76255845,1025,-0.955111738,A,A,E
0,0,2025/09/22 21:00:00,27,7974,0.956375928,1026,-0.938602126,A,D,E
0,0,2025/09/22 22:00:00,28,7973,0.270905788,1027,-0.535885258,A,C,E
0,0,2025/09/22 23:00:00,29,7972,-0.663633884,1028,0.087332681,A,B,E
0,0,2025/09/23 00:00:00,30,7971,-0.988031624,1029,0.674615783,A,A,E
0,0,2025/09/23 01:00:00,31,7970,-0.404037645,1030,0.984314269,A,A,E
0,0,2025/09/23 02:00:00,32,7969,0.551426681,1031,0.888996293,A,C,E
0,0,2025/09/23 03:00:00,33,7968,0.99991186,1032,0.427882407,A,D,E
0,0,2025/09/23 04:00:00,34,7967,0.529082686,1033,-0.209292544,A,D,E
0,0,2025/09/23 05:00:00,35,7966,-0.428182669,1034,-0.76034975,A,A,E
0,0,2025/09/23 06:00:00,36,7965,-0.991778853,1035,-0.998545327,A,D,E
0,0,2025/09/23 07:00:00,37,7964,-0.643538133,1036,-0.825868778,A,C,E
0,0,2025/09/23 08:00:00,38,7963,0.296368579,1037,-0.313371441,A,B,E
0,0,2025/09/23 09:00:00,39,7962,0.963795386,1038,0.328069056,A,A,E
0,0,2025/09/23 10:00:00,40,7961,0.74511316,1039,0.834518755,A,C,E
